customer_id,telecom_partner,gender,age,state,city,pincode,registration_event,num_dependents,estimated_salary,calls_made,sms_sent,data_used,churn
109172,Vodafone,M,37,Gujarat,Mumbai,230554,2021-06-30,1,128073,45,16,3650,1
199081,Reliance Jio,F,42,Uttarakhand,Kolkata,755691,2022-09-23,0,60824,16,42,1834,1
48448,Vodafone,M,53,Jharkhand,Kolkata,118436,2020-08-30,0,95680,90,25,8634,1
98902,Airtel,F,43,Tamil Nadu,Delhi,995036,2021-05-10,4,137154,82,0,8189,1
46909,Vodafone,F,36,Rajasthan,Hyderabad,701931,2020-08-22,0,116298,63,34,4492,1
132681,Reliance Jio,M,37,Manipur,Delhi,936341,2021-10-26,0,146269,50,15,1234,1
105152,Vodafone,M,63,Uttarakhand,Mumbai,617013,2021-06-10,3,124098,6,25,10030,1
72339,Airtel,M,57,Haryana,Chennai,850139,2020-12-28,2,128330,25,38,8655,1
30173,BSNL,F,20,Telangana,Kolkata,143997,2020-05-31,1,102017,96,11,3893,1
225484,BSNL,F,74,Uttar Pradesh,Delhi,896320,2023-02-02,2,33796,42,26,7318,1
240996,BSNL,M,73,Tamil Nadu,Delhi,556924,2023-04-21,4,97655,21,0,299,1
215598,Vodafone,F,65,Uttarakhand,Kolkata,167564,2022-12-15,1,49311,20,39,7536,1
143829,Airtel,F,35,Bihar,Kolkata,821825,2021-12-20,1,139515,15,42,3576,1
134178,BSNL,F,21,West Bengal,Kolkata,314823,2021-11-02,4,96068,15,34,6023,1
60734,BSNL,M,45,Haryana,Chennai,241333,2020-10-30,0,142074,0,34,9201,1
76002,Vodafone,M,19,Haryana,Bangalore,634666,2021-01-15,4,99059,56,23,8752,1
25467,BSNL,M,35,Odisha,Bangalore,115238,2020-05-07,4,107872,67,22,2911,1
239336,Airtel,F,50,Tamil Nadu,Bangalore,348425,2023-04-12,4,59113,62,35,9815,1
162579,Reliance Jio,F,38,Madhya Pradesh,Bangalore,763649,2022-03-24,2,149301,83,19,8797,1
81028,Reliance Jio,M,41,Kerala,Bangalore,256833,2021-02-09,1,97910,100,21,3944,1
127787,Vodafone,M,68,Tamil Nadu,Mumbai,984469,2021-10-01,3,27302,67,7,1033,1
71451,BSNL,M,60,Telangana,Kolkata,960386,2020-12-23,3,87858,33,13,7907,1
71794,Reliance Jio,F,48,Jharkhand,Chennai,771200,2020-12-25,1,129414,52,21,8247,1
116234,BSNL,M,68,Meghalaya,Chennai,195751,2021-08-04,3,91588,55,1,4895,1
122756,Airtel,F,71,Assam,Bangalore,332072,2021-09-06,2,99940,75,8,4531,1
174410,Vodafone,F,58,Odisha,Kolkata,837470,2022-05-22,2,34610,69,4,3500,1
72732,Airtel,M,74,Jharkhand,Mumbai,616723,2020-12-30,4,74573,56,39,6766,1
87265,Reliance Jio,M,33,Rajasthan,Bangalore,965904,2021-03-12,3,87796,67,13,3051,1
60724,Reliance Jio,M,20,Himachal Pradesh,Mumbai,717860,2020-10-30,3,99489,86,39,3726,1
202063,Reliance Jio,F,29,Punjab,Chennai,149353,2022-10-08,0,121467,32,14,3662,1
173173,Vodafone,M,19,Gujarat,Bangalore,533507,2022-05-16,2,43338,24,9,337,1
190188,Reliance Jio,M,31,West Bengal,Hyderabad,896214,2022-08-09,3,41509,34,33,6643,1
102695,Vodafone,F,31,Punjab,Bangalore,986450,2021-05-28,3,44917,5,45,6509,1
87018,Reliance Jio,F,33,Meghalaya,Mumbai,809296,2021-03-11,3,72798,38,5,10194,1
157203,BSNL,F,30,Manipur,Chennai,872651,2022-02-25,2,85591,27,42,6896,1
184488,Reliance Jio,F,64,Jharkhand,Chennai,726837,2022-07-12,2,135396,89,17,1823,1
105652,BSNL,F,22,Sikkim,Mumbai,767606,2021-06-12,1,135463,64,-3,8573,1
202714,Reliance Jio,M,70,Himachal Pradesh,Kolkata,235204,2022-10-11,1,99739,44,38,7922,1
152214,Vodafone,F,22,Bihar,Kolkata,469360,2022-01-31,0,55675,40,20,6339,1
215394,Airtel,F,55,Andhra Pradesh,Bangalore,288350,2022-12-14,4,73474,14,24,5996,1
187347,Reliance Jio,F,45,Karnataka,Chennai,482373,2022-07-26,2,97275,90,15,5803,1
168411,Airtel,M,23,Andhra Pradesh,Chennai,474608,2022-04-22,0,144363,32,36,8545,1
94636,BSNL,F,74,Sikkim,Bangalore,270785,2021-04-18,0,147611,28,19,4527,1
56914,Airtel,M,33,Goa,Bangalore,586089,2020-10-11,4,43555,79,35,7573,1
83099,BSNL,F,31,Andhra Pradesh,Mumbai,418546,2021-02-19,3,49455,29,31,4038,1
220424,Vodafone,F,24,Uttar Pradesh,Bangalore,595692,2023-01-08,2,86384,92,33,3690,1
228871,Vodafone,F,19,Meghalaya,Chennai,970819,2023-02-19,3,96998,83,19,8708,1
134034,Reliance Jio,M,33,Odisha,Hyderabad,529465,2021-11-01,0,30074,59,32,8130,1
224340,Reliance Jio,F,37,Chhattisgarh,Bangalore,623523,2023-01-27,0,132099,63,7,8105,1
129504,Reliance Jio,M,23,Goa,Delhi,219097,2021-10-10,3,50805,78,7,10181,1
183114,Vodafone,F,52,Maharashtra,Kolkata,643675,2022-07-05,2,136113,50,45,5493,1
140284,BSNL,M,69,Andhra Pradesh,Delhi,528468,2021-12-03,1,47580,17,39,6674,1
19546,Airtel,F,59,Odisha,Chennai,932232,2020-04-07,1,128443,69,37,4813,1
130130,BSNL,M,45,Nagaland,Delhi,420168,2021-10-13,3,53873,19,-1,6091,1
216392,Airtel,M,69,Andhra Pradesh,Kolkata,623937,2022-12-19,2,86605,49,7,7060,1
207074,Airtel,M,47,Madhya Pradesh,Chennai,303764,2022-11-02,4,88406,51,22,6813,1
236949,Vodafone,M,22,Nagaland,Kolkata,802946,2023-03-31,1,144854,46,13,3692,1
237614,Vodafone,M,42,Rajasthan,Bangalore,615012,2023-04-04,0,81637,95,39,2968,1
72997,Vodafone,F,33,Meghalaya,Kolkata,439800,2020-12-31,4,51756,4,21,9076,1
87879,Vodafone,M,56,Andhra Pradesh,Mumbai,535356,2021-03-15,3,57671,89,34,2252,1
132627,Airtel,M,70,Tamil Nadu,Delhi,856060,2021-10-25,0,38244,15,28,5870,1
188513,Airtel,M,50,Tripura,Kolkata,652930,2022-08-01,0,36696,101,24,5378,1
113970,Vodafone,F,64,West Bengal,Hyderabad,961982,2021-07-24,1,89326,89,35,5987,1
164373,BSNL,F,60,Manipur,Delhi,865543,2022-04-02,0,92642,45,26,8479,1
2079,Reliance Jio,M,35,Maharashtra,Chennai,265182,2020-01-11,1,91554,42,48,1474,1
54279,Reliance Jio,F,52,Rajasthan,Mumbai,596217,2020-09-28,4,139283,60,0,2086,1
240337,BSNL,M,63,Mizoram,Chennai,600344,2023-04-17,2,112881,9,45,9683,1
152186,BSNL,F,51,Haryana,Delhi,957601,2022-01-31,0,44059,90,12,7636,1
212138,Airtel,M,52,Rajasthan,Bangalore,722008,2022-11-27,1,83405,18,-2,8355,1
45376,Reliance Jio,F,62,Andhra Pradesh,Chennai,539481,2020-08-15,1,51788,42,28,9020,1
74004,Vodafone,M,46,Nagaland,Mumbai,718353,2021-01-05,1,148340,73,25,8095,1
129710,Reliance Jio,M,57,Haryana,Delhi,406225,2021-10-11,4,26516,76,9,6029,1
74325,Airtel,M,49,Tamil Nadu,Kolkata,630438,2021-01-06,3,114867,42,19,8138,1
219084,BSNL,M,36,Karnataka,Chennai,394660,2023-01-01,2,44128,57,43,4486,1
33493,Vodafone,F,57,Maharashtra,Chennai,748897,2020-06-16,3,31957,64,32,8771,1
34421,Vodafone,F,66,Sikkim,Bangalore,504389,2020-06-21,3,129506,14,41,1975,1
3103,Airtel,M,60,Mizoram,Chennai,582490,2020-01-16,0,74890,62,26,4111,1
238385,Reliance Jio,F,57,Assam,Chennai,217241,2023-04-08,4,61861,68,5,8947,1
157049,Vodafone,F,18,Meghalaya,Chennai,165243,2022-02-25,2,141816,105,9,4876,1
2637,BSNL,M,22,Arunachal Pradesh,Delhi,988109,2020-01-14,4,23515,87,11,4126,1
160730,Airtel,M,50,Tripura,Kolkata,854747,2022-03-15,4,84202,4,39,4122,1
151664,BSNL,M,51,Rajasthan,Chennai,721505,2022-01-29,2,70585,100,51,2506,1
18490,BSNL,F,48,Sikkim,Chennai,392375,2020-04-02,0,31836,65,30,3237,1
78243,Airtel,M,69,Meghalaya,Hyderabad,637284,2021-01-26,3,138037,50,42,8972,1
97115,BSNL,M,44,Meghalaya,Delhi,692955,2021-05-01,0,40188,34,42,1324,1
229932,Airtel,M,39,Odisha,Bangalore,649388,2023-02-24,2,127628,89,1,480,1
11084,Reliance Jio,M,21,Karnataka,Delhi,202415,2020-02-25,0,24402,64,31,2896,1
11502,Airtel,M,37,Goa,Mumbai,935657,2020-02-27,1,118276,61,42,7791,1
94047,Airtel,F,64,Tamil Nadu,Chennai,779520,2021-04-15,0,91378,39,19,6725,1
160832,Vodafone,M,34,Nagaland,Delhi,499816,2022-03-15,0,51594,102,21,7549,1
209800,Airtel,M,36,West Bengal,Delhi,475565,2022-11-16,3,52193,7,50,4785,1
39669,Reliance Jio,M,37,Chhattisgarh,Chennai,336528,2020-07-17,1,34417,28,20,8310,1
74040,BSNL,F,43,Maharashtra,Bangalore,933533,2021-01-05,1,37658,-1,7,4227,1
121501,Airtel,M,26,Maharashtra,Delhi,567476,2021-08-31,1,52478,29,41,10310,1
127296,Reliance Jio,M,57,Maharashtra,Mumbai,510034,2021-09-29,3,35567,61,11,6364,1
203862,BSNL,M,70,Arunachal Pradesh,Hyderabad,247369,2022-10-17,3,62318,78,45,4700,1
53881,Airtel,F,68,Uttarakhand,Kolkata,783613,2020-09-26,2,27190,47,43,7926,1
137141,Reliance Jio,M,47,Manipur,Delhi,304233,2021-11-17,3,64529,69,9,6323,1
63528,Reliance Jio,M,37,Uttar Pradesh,Chennai,233577,2020-11-13,1,30275,87,42,2093,1
101224,Reliance Jio,M,29,Bihar,Delhi,296350,2021-05-21,1,99792,51,11,7217,1
5618,Airtel,M,70,Assam,Mumbai,844068,2020-01-29,0,138513,85,38,1726,1
157910,Vodafone,F,52,Kerala,Chennai,639216,2022-03-01,3,117697,73,31,-456,1
112432,BSNL,F,37,Uttar Pradesh,Bangalore,352243,2021-07-16,3,125437,-3,15,7533,1
148730,Airtel,F,53,Assam,Delhi,251821,2022-01-14,2,147035,42,31,4719,1
68854,Airtel,F,35,Gujarat,Bangalore,751861,2020-12-10,1,56348,72,4,4757,1
92701,Airtel,F,72,Madhya Pradesh,Delhi,447771,2021-04-08,4,137561,83,38,8420,1
69360,Reliance Jio,M,49,Madhya Pradesh,Delhi,752749,2020-12-13,2,85970,76,-1,7886,1
97248,BSNL,F,28,Sikkim,Mumbai,755620,2021-05-01,2,77150,83,51,1927,1
78826,Reliance Jio,F,73,Meghalaya,Chennai,826210,2021-01-29,1,92070,72,30,-343,1
33563,Airtel,M,72,Madhya Pradesh,Hyderabad,392773,2020-06-16,2,131441,74,3,4252,1
45341,BSNL,M,72,West Bengal,Mumbai,390662,2020-08-14,4,109236,9,4,3011,1
188470,Airtel,F,46,Tamil Nadu,Kolkata,270154,2022-08-01,0,27511,6,20,9265,1
147074,Reliance Jio,M,48,Jharkhand,Kolkata,655782,2022-01-06,1,63236,28,-2,2558,1
27421,BSNL,M,73,Meghalaya,Hyderabad,987795,2020-05-17,2,91121,61,14,-299,1
222443,Reliance Jio,F,35,Karnataka,Delhi,138369,2023-01-18,1,21588,93,29,7757,1
162771,Reliance Jio,F,38,Tripura,Hyderabad,167602,2022-03-25,0,94632,10,5,1155,1
63303,Reliance Jio,M,18,Sikkim,Chennai,766774,2020-11-12,1,29930,45,30,8966,1
105740,Airtel,F,43,Tamil Nadu,Kolkata,670100,2021-06-13,4,94005,51,45,9460,1
9104,Vodafone,F,44,Gujarat,Hyderabad,645188,2020-02-15,1,135134,13,24,5803,1
210666,Reliance Jio,M,62,Sikkim,Delhi,944664,2022-11-20,2,135087,49,7,8888,1
105804,Airtel,F,72,Uttarakhand,Kolkata,822999,2021-06-13,0,133683,22,40,3655,1
204829,Airtel,M,29,Karnataka,Mumbai,351294,2022-10-22,1,83812,62,47,2974,1
127207,BSNL,F,36,Kerala,Mumbai,571215,2021-09-28,3,137148,28,39,9378,1
184158,Airtel,M,49,Kerala,Chennai,568410,2022-07-10,1,37164,29,25,3897,1
200343,Reliance Jio,F,49,Gujarat,Delhi,918484,2022-09-29,1,88527,20,29,4306,1
159066,BSNL,F,74,Bihar,Chennai,400087,2022-03-07,1,134562,60,42,5911,1
53208,Airtel,F,70,West Bengal,Mumbai,208558,2020-09-23,4,147293,35,16,2224,1
190861,Airtel,M,55,Andhra Pradesh,Delhi,615720,2022-08-13,1,69512,34,29,2334,1
54756,Vodafone,M,43,Gujarat,Kolkata,811456,2020-10-01,3,51534,83,4,2496,1
231601,Reliance Jio,M,38,Tamil Nadu,Chennai,228111,2023-03-05,1,33545,36,8,2309,1
243352,Airtel,F,49,Mizoram,Kolkata,169024,2023-05-02,1,38130,91,26,3668,1
220098,Airtel,F,44,Mizoram,Chennai,868552,2023-01-06,2,87598,24,15,5792,1
114845,BSNL,F,67,Madhya Pradesh,Kolkata,825085,2021-07-28,4,30166,51,38,4117,1
19446,Airtel,F,63,Bihar,Delhi,727564,2020-04-07,4,49691,45,34,4406,1
41482,Vodafone,M,67,Himachal Pradesh,Delhi,220693,2020-07-26,1,135315,42,8,7442,1
142769,Airtel,M,58,Chhattisgarh,Chennai,370700,2021-12-15,0,26053,14,12,718,1
54689,Vodafone,F,30,Karnataka,Mumbai,139613,2020-09-30,0,83063,83,26,6930,1
88826,Airtel,F,25,Tamil Nadu,Hyderabad,845798,2021-03-20,1,141387,38,27,1393,1
225867,Vodafone,M,35,Manipur,Hyderabad,665095,2023-02-04,3,93026,13,27,6965,1
145395,Airtel,M,19,Uttarakhand,Bangalore,229417,2021-12-28,0,95674,10,16,2321,1
191,Reliance Jio,M,66,Kerala,Chennai,214048,2020-01-01,0,99159,-3,-1,3838,1
230286,Airtel,M,42,Odisha,Bangalore,196175,2023-02-26,1,89686,60,30,5187,1
224751,Reliance Jio,F,35,Uttarakhand,Hyderabad,125642,2023-01-29,4,144747,63,6,1754,1
38410,Vodafone,M,49,Rajasthan,Bangalore,680611,2020-07-11,4,38425,62,48,3942,1
221659,Airtel,F,39,Bihar,Delhi,255949,2023-01-14,3,119923,83,22,5301,1
23378,BSNL,M,22,Uttarakhand,Delhi,221155,2020-04-27,3,135203,72,9,7118,1
229092,Airtel,M,35,Himachal Pradesh,Chennai,653806,2023-02-20,2,132748,77,49,8338,1
16614,Airtel,M,35,Mizoram,Mumbai,985210,2020-03-24,4,74566,51,33,3406,1
120436,Airtel,M,60,Madhya Pradesh,Delhi,561645,2021-08-25,0,119342,95,20,4443,1
26594,Vodafone,M,72,Kerala,Hyderabad,930263,2020-05-13,1,77277,53,42,-109,1
58761,BSNL,M,47,Mizoram,Hyderabad,603666,2020-10-21,2,124359,59,37,9488,1
164707,Airtel,F,34,West Bengal,Chennai,880241,2022-04-04,3,39657,57,39,8959,1
112027,Vodafone,M,58,Nagaland,Chennai,709639,2021-07-14,4,76025,40,32,-223,1
27426,Vodafone,M,73,Tripura,Mumbai,337115,2020-05-17,4,21557,69,40,3763,1
129655,BSNL,M,57,Maharashtra,Kolkata,920692,2021-10-10,4,56405,92,47,944,1
56778,BSNL,F,39,Kerala,Chennai,848158,2020-10-11,3,57511,22,40,5752,1
119828,Vodafone,F,38,Nagaland,Mumbai,884511,2021-08-22,3,43374,90,31,-219,1
12273,Vodafone,M,43,Meghalaya,Bangalore,232681,2020-03-02,4,67109,9,39,5944,1
221903,Vodafone,F,58,Nagaland,Hyderabad,320171,2023-01-15,0,138519,91,24,3466,1
8298,Vodafone,F,41,Punjab,Delhi,788488,2020-02-11,0,24668,87,33,3562,1
99496,Airtel,M,18,Mizoram,Kolkata,270303,2021-05-12,0,137006,87,30,1375,1
224725,Vodafone,F,52,Meghalaya,Bangalore,729098,2023-01-29,1,125550,13,8,3480,1
241609,BSNL,M,53,Manipur,Bangalore,335685,2023-04-24,2,78157,91,32,6332,1
90083,Reliance Jio,M,32,Arunachal Pradesh,Kolkata,377995,2021-03-26,4,51007,20,6,3228,1
30389,Vodafone,M,61,Madhya Pradesh,Bangalore,527598,2020-06-01,2,40270,56,24,2786,1
90937,Airtel,F,61,Meghalaya,Bangalore,492415,2021-03-31,1,98231,18,1,7367,1
126193,Reliance Jio,F,42,Sikkim,Chennai,856415,2021-09-23,4,83303,15,0,6905,1
67425,BSNL,M,70,Gujarat,Chennai,838581,2020-12-03,4,89940,7,16,9984,1
191886,Reliance Jio,M,70,Maharashtra,Kolkata,215036,2022-08-18,3,59314,83,31,3631,1
173192,Reliance Jio,M,71,Jharkhand,Hyderabad,853222,2022-05-16,3,135941,3,35,1475,1
5167,Vodafone,M,44,Kerala,Hyderabad,573039,2020-01-26,4,102885,37,18,5185,1
66226,Vodafone,M,36,Manipur,Bangalore,275950,2020-11-27,3,27766,49,5,7330,1
213723,Airtel,M,37,Arunachal Pradesh,Hyderabad,558509,2022-12-05,1,78969,57,51,5364,1
138553,Vodafone,F,44,Goa,Kolkata,888587,2021-11-24,1,33404,87,26,9668,1
231789,Reliance Jio,M,37,Haryana,Kolkata,699897,2023-03-06,3,22878,82,6,6753,1
5781,Reliance Jio,M,39,Chhattisgarh,Delhi,905480,2020-01-29,1,47982,48,28,8767,1
160007,BSNL,M,37,Sikkim,Bangalore,181665,2022-03-11,2,112138,14,31,7493,1
120828,Vodafone,M,27,Goa,Hyderabad,539354,2021-08-27,2,73396,76,3,3075,1
49844,Reliance Jio,F,24,Uttarakhand,Hyderabad,673986,2020-09-06,0,40012,84,21,813,1
217904,Airtel,F,59,Meghalaya,Mumbai,539802,2022-12-26,1,108129,81,42,5918,1
190527,Vodafone,M,31,Sikkim,Bangalore,272678,2022-08-11,0,82827,73,42,6658,1
20187,BSNL,M,43,Nagaland,Chennai,587239,2020-04-11,3,70529,73,44,7186,1
39936,BSNL,F,47,Mizoram,Chennai,110635,2020-07-18,1,129086,73,38,3225,1
110779,Airtel,M,27,Punjab,Mumbai,260536,2021-07-08,4,21421,37,8,5087,1
10407,BSNL,M,35,Uttar Pradesh,Kolkata,373984,2020-02-22,4,35554,-3,51,8398,1
224380,Vodafone,M,47,Uttar Pradesh,Bangalore,390428,2023-01-28,2,21063,11,5,9255,1
104729,Airtel,F,32,Maharashtra,Chennai,289452,2021-06-08,4,112126,67,52,6233,1
122589,BSNL,M,72,Goa,Mumbai,260881,2021-09-05,1,47499,74,52,5842,1
32070,Reliance Jio,M,55,Manipur,Kolkata,375107,2020-06-09,3,116436,44,1,5060,1
14681,BSNL,F,37,Assam,Bangalore,146033,2020-03-14,4,101031,47,27,6415,1
123547,Vodafone,M,63,Assam,Delhi,429840,2021-09-10,2,103832,49,48,4264,1
119728,Airtel,M,65,Sikkim,Mumbai,824022,2021-08-22,1,129056,43,46,3421,1
99961,Airtel,F,34,West Bengal,Mumbai,547018,2021-05-15,3,67592,38,23,4359,1
238459,Airtel,F,48,Himachal Pradesh,Kolkata,336172,2023-04-08,0,67357,71,8,4103,1
72419,Vodafone,M,52,Uttarakhand,Chennai,772878,2020-12-28,3,127727,67,31,8393,1
136798,Reliance Jio,M,52,Telangana,Chennai,909850,2021-11-15,3,43918,79,25,9187,1
126196,Vodafone,M,18,Sikkim,Kolkata,240802,2021-09-23,1,105121,99,7,5298,1
204621,BSNL,M,34,West Bengal,Bangalore,215993,2022-10-21,3,45453,41,32,8422,1
28298,Reliance Jio,F,46,Madhya Pradesh,Hyderabad,660427,2020-05-21,3,67483,82,4,4359,1
200971,Airtel,M,42,Nagaland,Hyderabad,565067,2022-10-02,3,61161,105,11,3029,1
185374,Reliance Jio,M,21,Manipur,Hyderabad,601171,2022-07-16,0,93577,33,36,4833,1
18830,Vodafone,F,44,Karnataka,Mumbai,391541,2020-04-04,3,128265,93,17,9387,1
115082,Airtel,M,50,Karnataka,Hyderabad,860828,2021-07-29,3,51119,81,44,7303,1
233027,Vodafone,F,50,Karnataka,Chennai,944275,2023-03-12,4,50155,62,14,6050,1
24854,Reliance Jio,F,66,Tripura,Delhi,906282,2020-05-04,4,56981,90,21,6500,1
51952,Vodafone,F,65,Uttarakhand,Kolkata,173961,2020-09-17,1,77663,73,17,8583,1
57364,Airtel,F,21,Jharkhand,Mumbai,446864,2020-10-14,0,123557,72,43,-31,1
170388,BSNL,F,44,Goa,Kolkata,817179,2022-05-02,1,143027,53,46,2510,1
92958,Airtel,M,51,Arunachal Pradesh,Chennai,630831,2021-04-10,4,149732,97,6,8006,1
191980,Airtel,F,61,Jharkhand,Hyderabad,779863,2022-08-18,2,45955,64,41,1589,1
66512,BSNL,M,48,Maharashtra,Kolkata,280262,2020-11-28,0,133868,83,31,8147,1
146592,BSNL,M,58,Arunachal Pradesh,Chennai,545448,2022-01-03,4,56927,67,37,6262,1
233770,Airtel,M,34,Karnataka,Chennai,546614,2023-03-16,2,137022,24,14,1496,1
179905,Airtel,F,64,Odisha,Bangalore,272813,2022-06-19,4,48829,96,39,10573,1
56423,Reliance Jio,M,41,Himachal Pradesh,Mumbai,946356,2020-10-09,1,128859,88,28,2068,1
83380,Vodafone,M,64,Tripura,Hyderabad,105170,2021-02-21,4,36226,67,5,5872,1
207639,BSNL,F,62,Telangana,Bangalore,533839,2022-11-05,0,130012,73,19,8999,1
46299,Reliance Jio,M,37,Sikkim,Mumbai,994729,2020-08-19,4,58318,90,13,102,1
190611,Vodafone,F,37,Maharashtra,Kolkata,424564,2022-08-12,0,20930,91,47,8618,1
31929,Airtel,M,43,Assam,Bangalore,976788,2020-06-08,4,119728,47,34,8096,1
116840,BSNL,M,31,Rajasthan,Hyderabad,307807,2021-08-07,2,26079,26,24,1632,1
85437,Reliance Jio,F,68,Haryana,Delhi,849774,2021-03-03,0,22902,52,41,2324,1
206684,Reliance Jio,M,48,Maharashtra,Chennai,219521,2022-10-31,1,36282,30,40,4252,1
123405,Reliance Jio,M,35,Nagaland,Bangalore,577680,2021-09-09,4,147666,24,24,1468,1
140440,Airtel,F,31,West Bengal,Delhi,875968,2021-12-03,0,117428,61,7,7585,1
170272,Vodafone,F,43,Kerala,Hyderabad,352151,2022-05-02,3,122798,74,43,1645,1
238383,Reliance Jio,F,24,Himachal Pradesh,Bangalore,366668,2023-04-08,2,26504,13,53,7612,1
125946,BSNL,M,74,Chhattisgarh,Kolkata,466288,2021-09-22,0,47062,47,24,8444,1
1306,BSNL,M,73,Gujarat,Mumbai,976086,2020-01-07,3,37276,36,-2,8991,1
35776,Airtel,F,55,Tripura,Delhi,752052,2020-06-28,3,84557,37,32,3983,1
234743,Airtel,F,31,Tamil Nadu,Delhi,720634,2023-03-20,1,54399,30,29,71,1
200379,Airtel,M,52,Karnataka,Delhi,889060,2022-09-29,2,147155,79,38,-264,1
7316,Vodafone,F,64,Kerala,Bangalore,961214,2020-02-06,0,118017,81,18,8232,1
103908,Vodafone,F,66,Telangana,Chennai,348320,2021-06-04,4,36100,44,30,301,1
484,Vodafone,M,30,Tripura,Kolkata,205906,2020-01-03,3,40077,53,33,1563,1
48874,Reliance Jio,M,34,Karnataka,Delhi,248492,2020-09-01,4,93738,85,31,7392,1
195399,Airtel,M,21,Manipur,Delhi,956176,2022-09-04,2,84683,77,15,2932,1
172591,Vodafone,M,63,Odisha,Bangalore,235418,2022-05-13,1,88516,74,9,10378,1
22829,Airtel,M,34,Maharashtra,Hyderabad,678239,2020-04-24,0,61384,90,49,2504,1
82005,Airtel,M,25,Sikkim,Delhi,765905,2021-02-14,3,137480,-4,6,1930,1
23711,BSNL,M,55,Manipur,Kolkata,283236,2020-04-28,1,96189,11,43,6566,1
159927,BSNL,M,42,Mizoram,Chennai,572923,2022-03-11,1,113526,-5,12,5517,1
67029,Vodafone,F,74,Assam,Chennai,119800,2020-12-01,4,49494,83,42,2212,1
77747,Vodafone,M,69,Madhya Pradesh,Chennai,866961,2021-01-24,0,23222,9,39,9500,1
